"business_area_name","region_name","barr_date","revenue"
"A00 - Equipment","India","2020-07-01",447343.621854
"B00 - Services","APAC","2020-07-01",3266463.525233999
"A00 - Equipment","Eurasia","2020-07-01",3645941.3442
"B00 - Services","India","2020-07-01",2127690.706899
"A00 - Equipment","APAC","2020-07-01",1676269.1470340001
"F00 - GCCT","APAC","2020-07-01",1516603.2740210004
"A00 - Equipment","China","2020-07-01",-18676.36
"X00 - Other","North America","2020-07-01",-777.96
"X00 - Other","APAC","2020-07-01",-14268.02
"A00 - Equipment","North America","2020-07-01",1448973.219532
"B00 - Services","North America","2020-07-01",827219.6262139999
"B00 - Services","Eurasia","2020-07-01",2147691.4543
"X00 - Other","Latin America","2020-07-01",-401.35
"X00 - Other","EMEA","2020-07-01",7433.849999999999
"A00 - Equipment","EMEA","2020-07-01",792503.7443000001
"B00 - Services","Latin America","2020-07-01",1412075.1978189999
"F00 - GCCT","Latin America","2020-07-01",636276.866903
"B00 - Services","EMEA","2020-07-01",1510098.4995
"B00 - Services","China","2020-07-01",231847.55323800002
"Consolidated","Global","2020-07-01",24893458.22
"F00 - GCCT","Latin America","2020-06-01",597398.438749
"F00 - GCCT","Eurasia","2020-06-01",50943.534400000004
"A00 - Equipment","Latin America","2020-06-01",207611.26
"A00 - Equipment","EMEA","2020-06-01",3664768.4525000006
"A00 - Equipment","APAC","2020-06-01",1871704.1212559997
"X00 - Other","Latin America","2020-06-01",-1324.59
"B00 - Services","Latin America","2020-06-01",1077637.248841
"F00 - GCCT","EMEA","2020-06-01",1428373.5783000002
"A00 - Equipment","North America","2020-06-01",1271293.082131
